"subject" "activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-meanFreq()"
1 "LAYING" 0.0848764675 -0.0455102567154 -0.1033663949 -0.17453722646 -0.09535365078 -0.244085564692 0.67585341798 -0.04022461982 0.04936842492754 -0.7921127456 -0.81360800926 -0.7992173188 0.137098246898 0.009366633628 0.024699890376 -0.3319091908 -0.3309604021 -0.560070832 0.0356437105358 -0.1397636023046 0.15448814926 -0.50488032654 -0.402702391726 -0.35027569906 -0.043139751072 -0.0687217514586 -0.10285071324 -0.52428349896 -0.6003231544 -0.51455660314 -0.0755823895388 -0.14953970856 -0.0755823895388 -0.14953970856 -0.361274656244 -0.331896916932 -0.19180563722 -0.38503787762 -0.5601602416 -0.59880056106 -0.220735783862 -0.1594019504 -0.35079241768 -0.15868989362 -0.124873753598 -0.25261928382 -0.43518626438 -0.088771489892 -0.05499452058034 -0.3601869083 -0.35496739372 -0.5282380848 -0.36368655952 -0.35132561066 -0.59119895142 -0.241256336678 -0.35738288932 -0.27803440486 -0.40261877382 -0.44647236684 -0.315115158196 -0.539605474874 -0.386906579344 -0.42555995828 -0.144922020162 -0.162753270202 -0.08269105086 -0.151871574912 -0.28745850736 -0.0382323343688 -0.30744510314 -0.372791751008 0.011601523522 -0.44676366534 -0.455295009 -0.07853937019 -0.5895525702 -0.6417939878 0.07914761304
1 "SITTING" 0.0450448361446808 -0.0142649397 -0.0737373139191489 -0.330036128329787 -0.214836288808511 -0.316471432425532 0.587090694914894 0.0750985135319149 0.076102846693617 -0.761945285659574 -0.810605097446809 -0.646243348617021 0.155371533255319 0.060589759293617 -0.00411099901914894 -0.482810278114894 -0.466546358553191 -0.68532987106383 0.0420599125829787 -0.0833353356382979 0.125204542361702 -0.565977400425532 -0.582620239319149 -0.484743627148936 -0.0636566220842553 -0.068047868893617 -0.129011005214426 -0.610281704617021 -0.73349978212766 -0.657759672553191 -0.174577705723404 -0.219700027042553 -0.174577705723404 -0.219700027042553 -0.509748945778723 -0.490807394654468 -0.36449836187234 -0.488436189306383 -0.687165873404255 -0.713866274893617 -0.385629753829787 -0.284963873021277 -0.438423130042553 -0.31049564132766 -0.232786652493617 -0.31137027087234 -0.416134403210638 -0.0501484562404255 -0.0716061735957447 -0.497065732693617 -0.489933868817021 -0.65080074212766 -0.515515373025532 -0.478248769172766 -0.719404998085106 -0.191748362168511 -0.369549014465957 -0.298423724042553 -0.493683077851064 -0.604404252519149 -0.475323890531915 -0.591890226595745 -0.57641335112766 -0.538774248 -0.172183513204255 -0.18814813793766 -0.130749766946809 -0.282917524361702 -0.317615578957447 -0.104890750329787 -0.464868536742553 -0.531895569604255 0.015225648212766 -0.556489817659575 -0.534704266659574 -0.150824349314894 -0.708080759361702 -0.743502843829787 0.070786180793617
1 "STANDING" -0.143899926415094 -0.0766989900449057 0.0255170666773585 -0.284739131886792 -0.132333162058491 -0.30824623095283 0.367525538792453 0.194337694560377 0.259531293021698 -0.467112476698113 -0.68916705845283 -0.590979977150943 0.243296083390566 -0.0754340928332075 -0.0620451771981132 -0.53788343784434 -0.472165794392453 -0.689484924150943 -0.0204713557315094 -0.145921299984906 0.183165793769811 -0.558294918735849 -0.605356708679245 -0.504514852132075 -0.055990842154717 -0.0725921274018868 -0.102574883507547 -0.640997611698113 -0.731005074264151 -0.654021663037736 -0.0822122743773585 -0.0339782134716981 -0.0822122743773585 -0.0339782134716981 -0.548734786283019 -0.49878913454717 -0.370237880716981 -0.458686194773585 -0.698623726188679 -0.703934859471698 -0.359656805698113 -0.238848459301887 -0.449323823890566 -0.259199427741509 -0.140606240962264 -0.298212162183019 -0.479325439811321 -0.118947802198113 -0.177283234811321 -0.547065994169811 -0.494509224226415 -0.657220486226415 -0.570861364 -0.484398290018868 -0.721115951660377 -0.213997716849057 -0.395358262886792 -0.262010270298113 -0.502962194892453 -0.618079254735849 -0.482766188501887 -0.579690188811321 -0.604653907169811 -0.560536669471698 -0.218744744830189 -0.156064496924717 -0.124958658383019 -0.185664854324528 -0.122200863915094 -0.192330551784906 -0.488236031392453 -0.518246586383019 -0.00551796557735849 -0.549982626773585 -0.498351372728302 -0.184074313471698 -0.707068322490566 -0.722695726603774 -0.00283483805566038
1 "WALKING" 0.114741174210526 -0.0189265789973684 -0.117597451852632 -0.177458082894737 -0.0266499618677895 -0.233092856437684 0.779076945273684 -0.109662967592 -0.036572574932 -0.884537496421053 -0.830084254905263 -0.832531784957895 0.0975253938926316 0.0158562691350526 -0.0274514939673684 -0.30027724706 -0.297263883309474 -0.569729813852632 0.0217043035726316 -0.121057623395789 0.0721483758185263 -0.482763010347368 -0.406742813871579 -0.326096927105263 -0.0749755120401053 -0.0959614292573684 -0.0840664953294737 -0.510616935098947 -0.610781862010526 -0.511473981227368 -0.0702624991484211 -0.110360637484211 -0.0702624991484211 -0.110360637484211 -0.344490061882105 -0.292404024310526 -0.215179279806526 -0.360957117835789 -0.564810978105263 -0.598995586378947 -0.222218189294737 -0.0972903128178947 -0.337650930326316 -0.162485266441053 -0.0559972906915789 -0.242695345515789 -0.457953894896842 -0.0785063839451579 -0.0869176714736842 -0.318693490154737 -0.325724803362105 -0.525910752084211 -0.345855457383158 -0.315674647062105 -0.613264139230526 -0.229543183494737 -0.392299049646316 -0.311176443381053 -0.388403313578947 -0.445894238652632 -0.321418272778947 -0.515873803904211 -0.394524749977895 -0.394153915030526 -0.146508126445263 -0.193800604068421 -0.167169338567368 -0.124921827616842 -0.24623623992 -0.0630087944210526 -0.269884589030526 -0.330093634624211 -0.0066859740568421 -0.428801370507368 -0.430693644255789 -0.0773435902747368 -0.593663069689474 -0.6356487608 0.0913204669357895
1 "WALKING_DOWNSTAIRS" 0.132622637959184 -0.0407809665463265 -0.103693423742857 -0.126933058591837 -0.0416144540408163 -0.225886706346939 0.767356713653061 -0.169791073816327 0.0203173501959184 -0.866863149183673 -0.885839795387755 -0.827158396734694 0.078285373755102 0.0420604942612245 -0.0533645691632653 -0.260967449593878 -0.255182125146939 -0.548855524408163 0.00391681663265306 -0.132378785897959 0.132898271782653 -0.450891630020408 -0.337848250897959 -0.299523068220408 -0.115387133381633 -0.119355152981633 -0.118194364306122 -0.491053023877551 -0.56472461022449 -0.46342003344898 -0.037026212355102 -0.117902744918367 -0.037026212355102 -0.117902744918367 -0.313093601328571 -0.251601860836735 -0.154381187067347 -0.295432281293878 -0.525012068510204 -0.562858300938776 -0.150718672402041 -0.0963064049612245 -0.325865612089796 -0.120643415612245 -0.0767587024489796 -0.240257431536735 -0.373862279002857 -0.0615977371632653 -0.079498967955102 -0.279419131355102 -0.285502992461225 -0.500606262326531 -0.31038455282449 -0.274815857142857 -0.59721995422449 -0.250568801346939 -0.394591903755102 -0.294674738863265 -0.356264552530612 -0.380087714895918 -0.262455233836735 -0.484482166244898 -0.326090616081633 -0.380830056040816 -0.181091979734694 -0.150002436157143 -0.111827265630612 -0.107242813755102 -0.264325131734694 -0.0259036858246939 -0.227709416408163 -0.290122711918367 0.0317175196744898 -0.371758590106122 -0.371071035040816 -0.0805039376681633 -0.560869137040816 -0.598784433163265 0.0682070745081633
1 "WALKING_UPSTAIRS" 0.136895030754717 -0.00909708329528302 -0.101383739924528 -0.135577041073585 0.0161726446069811 -0.182972393216981 0.893630548867924 -0.198497249056604 -0.0700007558981132 -0.937461444150943 -0.885563284679245 -0.888579994169811 0.0972143091075472 -0.0200111771264151 0.0202767690132075 -0.264176615620755 -0.245073173660377 -0.522688838554717 -0.106062906879245 -0.043566791890566 0.0876377096356604 -0.389926651396226 -0.332868157320755 -0.247272216849057 -0.0721139035411321 -0.122872632528302 -0.0938839888301887 -0.507887125490566 -0.585325895449057 -0.468681825581132 -0.0277722458867925 -0.0881804005698113 -0.0277722458867925 -0.0881804005698113 -0.299633174056604 -0.247592289566038 -0.132999166981132 -0.278885798377358 -0.537905943584906 -0.571842028226415 -0.172228928771698 -0.0471175254132075 -0.280072749160377 -0.123084058373208 -0.0207613065924528 -0.200650106113208 -0.438403865245283 -0.0865968422264151 -0.0656217827588679 -0.291491082650943 -0.277089562371698 -0.474031165509434 -0.30307702554717 -0.263675422283019 -0.570810225433962 -0.316288835345283 -0.431838004445283 -0.346037133984906 -0.322379833867925 -0.384623902943396 -0.245409447584906 -0.417474038277358 -0.313349863226415 -0.321267288981132 -0.220665322471698 -0.203220593739623 -0.161434712715472 -0.0926184704528302 -0.231198235533962 -0.0549715222116981 -0.230843495188679 -0.278024297954717 -0.0179476694115094 -0.371275492188679 -0.346996203433962 -0.106744985603774 -0.561472803113208 -0.618194155867924 0.0605405867320755
2 "LAYING" 0.17922192483871 -0.0133246225241935 -0.107595443743548 -0.232327082775806 -0.106380486304839 -0.268670301513871 0.830859718064516 -0.158223772319355 -0.0251331200708387 -0.939032109032258 -0.898545908387097 -0.888347575645161 0.1130262142 0.0540547921580645 0.0902382442290323 -0.33724559133871 -0.331922223767742 -0.569588723112903 -0.0668831061435484 -0.0488927421096774 0.110353546131452 -0.522489611129032 -0.416690384145161 -0.357952761370968 -0.0624514698290323 -0.0786053666241936 -0.0671911614822581 -0.54047579783871 -0.608165068241936 -0.524017750046774 -0.134083237725806 -0.213085625974194 -0.134083237725806 -0.213085625974194 -0.374818003806452 -0.314818531175806 -0.2618054036 -0.386873065596774 -0.576339850645161 -0.592722576677419 -0.274852785057742 -0.161157173269355 -0.36703934733871 -0.218420180320968 -0.1380971513 -0.278671627564516 -0.446524603177419 -0.0988790987096774 -0.0702527914017742 -0.368005826370968 -0.364576589672581 -0.533561487322581 -0.365411489016129 -0.342518574693548 -0.604520266322581 -0.316876962983871 -0.429051571274194 -0.343525545314516 -0.445091647820968 -0.469229627451613 -0.341230666854839 -0.550652426241935 -0.397567193164516 -0.425990080225806 -0.216989748592097 -0.172937860335484 -0.140826129712903 -0.211818606198387 -0.338692334670968 -0.0300155440322581 -0.299375207290323 -0.340754910166129 0.0137900273629032 -0.456607180806452 -0.450930015969355 -0.0810944002756452 -0.598646979903226 -0.615488835822581 0.0357011123274194
2 "SITTING" 0.175373798653846 -0.0201848205728846 -0.102907037461538 -0.182543140109615 -0.0518829898076923 -0.302681727846154 0.853096958846154 -0.167468371961538 -0.0136071964369231 -0.938626868461538 -0.936974025576923 -0.917217765769231 0.125923260496154 0.0411912190694231 0.00827474558269231 -0.255424481355769 -0.214359505044231 -0.553108951923077 -0.0612269321519231 -0.0532913382 0.0819501578365385 -0.408310806767308 -0.381428889298077 -0.321422162092308 -0.0572014746140385 -0.137610056169231 -0.0916253726288462 -0.470002237182692 -0.586612861634615 -0.490675513461538 -0.10071125005 -0.220540797376346 -0.10071125005 -0.220540797376346 -0.295555996669231 -0.243040786884615 -0.205659017148077 -0.351109078976923 -0.536314664903846 -0.575577441461538 -0.199783456211538 -0.0796029677576923 -0.372359939621154 -0.179075559413462 -0.0993769902884615 -0.324253779865385 -0.364853121115385 -0.0250280363134615 -0.0414013169236538 -0.276773528826923 -0.251186852730769 -0.509810886557692 -0.302246839846154 -0.228326424703308 -0.5953131725 -0.261246550942308 -0.372114012596154 -0.283131956648077 -0.326797436307692 -0.416263554442308 -0.286259394246154 -0.437792318938462 -0.371093109480769 -0.399840538607692 -0.17158384275 -0.137761319405769 -0.110697933509615 -0.182279042388462 -0.36725895295 0.0502951912769231 -0.220345960307692 -0.280744680598077 0.0290848487046154 -0.409321021403846 -0.427046223365385 -0.00431503207519231 -0.575312653442308 -0.606280139019231 0.0456260607769231
2 "STANDING" 0.172183810655738 -0.024123756515982 -0.0932346396229508 -0.177923683070492 -0.0538977925622951 -0.227745302863934 0.87145845557377 -0.194270996491803 -0.069583771157377 -0.932828975901639 -0.907377607213115 -0.890896796721312 0.111643012511475 0.021229272195082 0.0313437021754098 -0.278960750316393 -0.252182717636066 -0.535441172754098 0.0240749047163934 -0.10788443539918 0.121826425685246 -0.493632453262295 -0.386248726231148 -0.324366782114754 -0.0672595454129508 -0.0948417417770492 -0.132746786219672 -0.512770515295082 -0.583345477704918 -0.516984454 -0.0851823162885246 -0.165773461622951 -0.0851823162885246 -0.165773461622951 -0.313370218731639 -0.258013147081967 -0.222354150095082 -0.363809996809836 -0.546303395573771 -0.58063250604918 -0.21605432813623 -0.102634517211475 -0.338955637737705 -0.165518296567213 -0.0918774902721311 -0.236008140872131 -0.44862400442623 -0.0699963102885246 -0.0916086497327869 -0.304459181737705 -0.285384411 -0.497134874967213 -0.319175408491803 -0.267727468039344 -0.572585890737705 -0.277304422754098 -0.402463727770492 -0.325365332272131 -0.402624348983607 -0.418859826426229 -0.31746329292459 -0.525626407606557 -0.378570181704918 -0.394021343442623 -0.172717067109836 -0.130280762409836 -0.145570984655738 -0.150723831704918 -0.307379382442623 -0.0123333972281967 -0.243248194695082 -0.285464530204262 -0.0107779453032787 -0.426488839704918 -0.436907026245902 -0.0286447919459016 -0.576918345213115 -0.617230393934426 0.100245861608197
2 "WALKING" 0.181695184482759 -0.0275685677458621 -0.114593450489655 -0.204950577472414 -0.0387774370862069 -0.266012783931035 0.883589025862069 -0.206529715062069 -0.0632420952258621 -0.95186876137931 -0.929362313965517 -0.909386144482759 0.0882206021551724 0.0554060491672414 0.0354892593137931 -0.286312846214138 -0.2451644415 -0.561290178843104 -0.0838248685637931 -0.0485334796675862 0.10040919014569 -0.394788522827586 -0.352208295531034 -0.298009908189655 -0.0552075889028793 -0.0970150448137931 -0.0884471910822414 -0.460480320741379 -0.582521585704483 -0.46602897433 -0.108802405262069 -0.201012948086207 -0.108802405262069 -0.201012948086207 -0.316225993448276 -0.284484491901724 -0.167796182298276 -0.283002460005172 -0.527389866775862 -0.559260676396552 -0.232463840396552 -0.0777301322086207 -0.366709540534483 -0.196825272455172 -0.0821579048413793 -0.276138336391379 -0.446064202275862 -0.0626834773896552 -0.077686214562069 -0.31563831537931 -0.275015369798276 -0.523980937137931 -0.320762666534483 -0.264647445551724 -0.597842689689655 -0.305945623953448 -0.404961516258621 -0.300695555265517 -0.3245710283 -0.410353663689655 -0.269697463862069 -0.422845014672414 -0.330284647806897 -0.376520049293103 -0.229288235251724 -0.171708849734483 -0.157697991861379 -0.178708484703448 -0.342018239086207 -0.00595744656293104 -0.255015272906897 -0.331073576775862 0.0590913329396552 -0.371276468187931 -0.354885304637931 -0.0942956024093103 -0.558572581824138 -0.592906307775862 0.0769284528258621
